title,students,description,image,funding,dates,archived,key
Children’s Engineering Kit,Hebellyn Quezada,"The purpose of this project is to create a kit that aims to spark an interest in engineering for preadolescents and investigate what are effective methods of doing so. The highlight of this project is the implementation of Choice Theory, which proposes that student engagement increases when they are presented with a series of options to choose from. The kit will consist of lessons that diverge in different directions on multiple steps to represent the diversity of engineering solutions. In the end, these branched out paths will merge together to a single product to show students the interconnectedness of different engineering disciplines. The students’ interaction and completion of the kit will be analyzed to determine what level of complexity and guidance is best suited for preadolescents. 
",/assets/images/research/kit1.jpg,This project is part of an ongoing Barrett Honors thesis.,,,misc
Signals in the Soil,Shawn (Dongting) Li,"What's inside the ground leaves us a mystery, and we are trying to use the self-boring robot nodes to collect signals underground. Currently, we are focusing on the soft material-granular media contacting behavior, adding material compliance into granular media RFT model. With a sand-burrowing robot platform built, we are validating the model, adding sensors, and implementing control. As a final goal, a series of self-burrowing digging robots will be created, enabling us to sense underground environments with minimal human intervention.",,"This work is supported by <a href=""https://www.nsf.gov/awardsearch/showAward?AWD_ID=1841574"">NSF Award #1841574</a>",,,misc
Development of an Multi-Process Planning Tool,Cole Brauer,"This project seeks to provide methods and set of tools for processing, modifying, and generating 3D models that use multiple materials and fabrication processes. Areas of research include planning of fabrication steps, automatic part modification, optimization of component properties, and generation of the files and fixtures needed to produce multi-material parts. Implementation of these algorithms is done in Python using a voxel-based model representation. This work will make multi-material fabrication more accessible for educational and research robotics.  Current work is focused on applications of graded materials in the design of robust material transitions. The results will inform the design of stronger flexible joints for use in low-cost robotics applications.  More information is available on the project GitHub repository. (https://github.com/cdbrauer/VoxelFuse)",/assets/images/research/voxel1.png,"This project is part of an ongoing Masters' thesis, and was previously the topic of a FURI project and a Barrett Honors thesis",,,misc
Octopus-Inspired Soft Hydrogel Robots,Roozbeh Khodambashi,"We are working to create a framework for design, rapid prototyping and control of robust, energy-efficient, autonomous soft arms with octopus-inspired distributed neuromuscular sensing and actuation. The arms will be capable of continuous deformation through the use of hydrogel ""muscles"" and distributed sensing through the use of embedded silver ""neuron"" interconnections. Such a unique octopus-inspired design forms a built-in local ""sensing-actuation"" feedback loop to achieve adaptive reconfiguration in response to the local environment. Such local adaptation will enable the robot to perform high-level tasks such as locomotion and reversible adhesion without coordination from a central controller in a highly accurate, rapid, and energy-efficient way. This study will also produce fundamental principles and theory for the modeling and control of soft robots in a way which leverages their unique capabilities and is inspired by how cephalopod appendages interact with their environment.",/assets/images/research/onr1.png,This  work  is  supported  by  Office  of  Naval  Research  Award  N00014-17-1-2117,,,onr
Foldable Robotic Elephant Trunk,Mannat Rana,"Standard robotic arms are limited by their cost, size, and lack of flexibility. These factors make standard robotic arms difficult to apply in complex scenarios. While traditional, rigid  robotic arms are used in factories and plants, they require meticulous planning, spacious locations, heavy funding, and can only be used for limited purposes, as they are inherently unsafe around humans.  Laminate devices, on the other hand, are far more compact, flexible, cheap, and modular, as they use flat, somewhat flexible materials which fold up like a popup-book to create complex nonlinear motion. With these advantages in mind, I propose to research continuum robot arms made using foldable, laminate techniques, using an elephant trunk as a source of inspiration. The elephant trunk has more degrees of freedom than the standard robotic arm, which allows it to perform complex manipulation tasks in unstructured natural environments.  This concept, when applied to a robotic arm, would allow it to be used in many more applications, and could be designed to accomplish a variety of tasks ill-suited to typical robot arms. Furthermore, the system could be designed to be collapsible, which would make it modular, portable, and easily deployable, increasing its applications further.",,This project is part of an ongoing FURI project,,,onr
"Design, Implementation, and Testing of a Force-Sensing Quadrupedal Laminate Robot",Ben Shuch,"In this project we present a low-cost force-sensing quadrupedal laminate robot platform. The robot has two degrees of freedom on each of four independent legs, allowing for a variety of motion trajectories to be created at each leg, thus creating a rich control space to explore on a relatively low-cost robot. This platform will allow a user to research complex motion and gait analysis control questions, and use different concepts in computer science and control theory methods to permit  it to walk.   The motion trajectory of each leg has been modeled in Python. Critical design considerations are the complexity of the laminate design, the rigidity of the materials of which the laminate is constructed, the accuracy of the transmission to control each leg, and the design of the force sensing legs.",/assets/images/research/quadruped1.jpg,This project was the result of coursework and a Barrett Honors thesis.,,x,quadruped
Modular Tail for Stabilizing Robot Platforms,Frank Ononye,"Based on the idea that robots can be made to display many features of animals such as locomotion, the goal of this thesis is to recreate a tail based on the mechanics of a cheetah since the use of its tail is the most effective in dynamic stability and test its effectiveness on an inherently unstable object such as an rc car. The question focuses on which tail design is necessary to fix an inherently unstable object. This topic is derived from how a cheetah uses its tail to stabilize itself while catching prey. The question of developing  a design will be answered by creating a unity model inspired by a cheetah’s tail and simulate how it will stabilize an object that lacks balance. The selected platform is an rc car. The model is already developed in unity, but its movement is not unstable. After making the inherently unstable by adjusting the scaling of the object to make it taller, the motor speed, turning angle, mass of the cube, mass of the wheels, and radius of the wheels, a motor and tail will be added for balance. The selected rc car will be adjusted to match the parameters in unity. The expected result of this procedure is to have a display of a real life model matching the simulation. ",/assets/images/research/tail1.jpg,This project is part of an ongoing Barrett Honors thesis.,,,quadruped
Balancing Quadruped,Dante Roush,"I am expanding the work done by previous Master’s Student Ben Shuch in the field of Quadrupedal Robotic Locomotion. I am utilizing force sensing to calculate the center of balance of a quadrupedal laminate robot with the end goal of implementing a controls system capable of adapting in real time to changing ground angles. Each of the robot’s four legs have two degrees of freedom and are controlled by a four-bar system powered by two servo motors. While standing in place, the robot will behave like a parallel manipulator; when standing on an angled table, it will use the difference between the current force distribution and an ideal force distribution for balance to direct a change in leg length to counteract the angled ground. The laminate materials used to construct the robot make it a more cost effective research platform for researching controls problems.",,This project is part of an ongoing Barrett Honors thesis.,,,quadruped
Control of a biped laminate robot,Taha Shafa,"Currently, a lot of focus previously for laminate robots has been on design, but more complex applications require higher level design. The aim of my project is to demonstrate that laminate robots can be utilized for higher level design by designing a laminate biped with model-based controls that can balance while standing and walking. This project starts from the early
prototyping design stage. Designs are created using python and Solidworks; PopupCAD is used to produce the DXF files needed for high speed laminate manufacturing. Through testing various design iterations, a design was reached with the ability to stand. The motors of this design were then modified to meet desired torque parameters. Testing has shown high torque is necessary to utilize robust control techniques, which will be used to balance the biped while it both stands and walks. Through python-based physics simulations utilizing Kane’s method, a model of the bipedal design can be created and linearized for controls applications. Since the system is fully controllable, LQR control techniques will be applied for balancing while standing and walking.  Eventually, different control systems can be design and implemented for various system applications.",,This project is part of an ongoing Masters' thesis.,,,biped
xtending the Jumping Range of a Small Robot via Collapsible Gliding Wings,Guston Lighthouse,"This project investigates the impact curvature, buckling, and anisotropy play when used passively to enhance jumping capability. In this project we employ a curved structure to allow a rigid link to collapse preferentially in one direction when it encounters aerodynamic drag forces. A model was constructed in Python using the data gathered through the experiments and was tuned so that its outputs were as close as possible to the experimental results. As expected, increasing the wing diameter increased the total fall time, and increasing the payload mass decreased the total fall time. Orientation of the wings around the vertical axis of the glider relative to the direction of horizontal motion was also found to have an effect on the length of time between when the gliding platform was launched and when it made contact with the ground, with a configuration where the axis between the wings was parallel to the direction of motion granting added stability. ",/assets/images/research/jump-glider.png,This project was the result of a Barrett Honors thesis.,,x,efri
